LABEL	preprocessing_A
AGAINST	para gandul poder vivir trabajar vivir cierto costa español pero pagar vicio partido politicos sindicato dejar chupar extremo derecho
NEUTRAL	bolsonaro posta video homem urinando outro associa blocos
NEUTRAL	desabafo bebianno deve desculpas viabilizar candidatura bolsonaro bastidor blog camarotti
FAVOR	tampoco mandar activo pasivo españa catalunya procesar independentista permitir todo mitines juicio
AGAINST	ayer évole alfonso guerra llamar golpista puigdemont ayudar pero llamar derecho trifalica trifachito liderar fascista manifestarse colon ayudar
AGAINST	pues problema historia inmutable pero cataluña destrozar precisamente meter unidad inmutable intemporal eterno mayoria independentista
FAVOR	impresionante reportaje acercar exiliar perder victoria fascismo español gracia sostener memoria recordar tanto dignidad
AGAINST	cuál objetivar viajar waterloo cuando anunciar arrimar video waterlo decirle monton puigdemont parecio idear estupida entendi referia manifestarse casa fugar
AGAINST	impuesto centro normalizacion linguistica adoctrinamiento lengua identidad nacional independentismo
AGAINST	montserrat toro indepes cambiar lazo amarillo simbolo amarillo verguenza dar serio #juicioproces
AGAINST	comite ejecutivo nacional reunir tardar decidir unanimidad concurrir proximas elección corte general presentar candidatura ambos camaras circunscripción #ahoravox #españaviva #voxentodaespaña
FAVOR	endogamia borbonica defecto geneticos generación aparecer ultimamente repetir mucho #lnarrimadas
AGAINST	leer julio relacion temer publicitario declarar testigo tardar #juiciodelproces
NEUTRAL	directo vicent contactar puigdemont junquera elaborar software votacion funcionar tecnologia blockchain ethereum
FAVOR	formular preguntar nuevo tener dato demostrar mayoria indepes vasco complices terrorismo
AGAINST	quiza interiorizado ellos medio extremo izquierdo separatista valer redundancia mostrar retroceder
NEUTRAL	reizinho fica lindar comendo sushi
AGAINST	como gustar verle careto quimtorra enterar eurocamara acepto conferenciar puigdemont patadon cabrear decir vergonya
FAVOR	#joacuso #judicialademocracia ver decir irene tonto imbecil idiota inutil irresponsable estupida torpe inculto majadero bobo necio majadero mentecato memo lelo simple merecer aire respirar ofender
FAVOR	monarquia generar dudar timar democracia español #besameelculofelipe
NEUTRAL	experto aconsejar precipitarse desechar idear amor romantico cambiar amar
FAVOR	serio generacion impedir investigacion relacion iman ripoll politicos policias torero inquisidor conquistador muerto hambre crear riqueza robar porrazo legion
AGAINST	todo facha facha facha facha mirar niño unico facha presidente mermao torrar presi fugar cagon fascismo ponte llorar quedo mucho
FAVOR	reventan independentisme dintre pactar junquera soraya partidisme
AGAINST	entrar hijo amigo pagar favor aqui cuan radical mejor radical elenco medio poble treballar torrar rodear independentista duro talibanes cataluña
FAVOR	#endirecto forn negar enfrentamiento mossos policia producir minoritario #juicioproces
FAVOR	preguntar concretamente multiples querer independentista contra pero decir demagogo
AGAINST	separatismo respetar nada siquiera verdadero exiliar memoria recordar considerar azaña negrin nacionalista catalán equivocar verguenza
AGAINST	articular diario danes desmontar demagogia separata retratar victimismo confrontacion constante falto mayoria social sistema electoral favorecer referendum fake mentiras️de dinamarca
FAVOR	jose ratito parque psoe derogar reforna laboral derogar mordaza obtener danada #noatot #josocmurallahumana #joacuso
FAVOR	tripartito ppcsvox realidad numeros independentista blocar psoepodemos mayoria frente derecho parecer paradojico posicion valiente cataluña acercar soberanismo ganar
FAVOR	injustamente huir morir colgadono huir morir huia cobardia inteliguencia regresar eliminar cacique sherif juez devolvia poblar dignidad puigdemont irsepork sino morir circunstancia
AGAINST	juicio proces directo #jacobialcalde #barcelona #tabarnia #españa #unioneuropea tocar declarar jonqueras
AGAINST	joven denunciar dictadura linguistica compromis acosar violentar pancatalanista #fuerachiringuitosdegenero #siguemeytesigovox #lcavotar
AGAINST	encuestar interno malo resultar ciudadano necesitar golpe timon colocar caro visible arrimar sacrificar cataluña
AGAINST	tras secesion hipotetica republica catalán monton partido unionista intentar reunificarse españa solucion indepe prohibirlos
NEUTRAL	jornalista tucanhede cometer falho confirmar tudo aquilo sabiamos bolsonaro recebeu alto depois receber dose quimioterapia facada fake serio faca laranja
FAVOR	repetir formar seguramente votarian favor listo decir tuit venir colacion injusto echar culpar indepes aprobar presupuesto intencion
FAVOR	cinismo falto compromiso injusticia miembro cine español poner manifestar para comprometerse cercano lejano palestino ignorar existencia preso politicos pais
AGAINST	como atrever partido politicos juicio unico plantar caro separatista durar dinero publicar aportar bolsillo invertir vidayo
AGAINST	acto precampaña trasladar ciudadania programa medir #laespañaquequieres todo alejar fantasma mirar sociedad justo
AGAINST	democracia libertar popular sumir concentracion ciudadano domingo febrero plaza colon #madrid unidad #españa #españaunanacion #eleccionesya #yovoy #vivaespaña #dlpespana #sentidocomun
AGAINST	como separatista multitud morir madrid seguro afectar mucho mucho mucho
NEUTRAL	torre iniesta afrontar temporada japon campeón mundo sudafrica afrontar liga japonés ilusion adaptar futbol nipon
AGAINST	dinero catalán servir pagar guardia privar puigdemont asesor pagar recurso publicos viajar mundo fugar justicia denunciar #parlament
FAVOR	llegar conclusion fiscalia abogacia estar importar pimiento juicio conocer manar sentenciar dictar necesidad preparar juicio #judicio
NEUTRAL	trampa fairy lucidez puigdemont declaracion exdelegado gobierno español cataluña enric millo frase #judicitvcatradio
AGAINST	#siguemeytesigovox divorciar vivir parejo casado padre niño bautizar clase fascista ser
AGAINST	@albertrivera querer volver sonar despertador marmota golpe estar tierra querer septiembre aplicar constitucion aplicarla politica defender democracia #nuncamas
FAVOR	politicos utilizar informacion privilegiar acceso enriquecerse verdad pepe
NEUTRAL	directo octubre acto pleno votar documentar decir votar propuesta resolucion parlament asegurar
FAVOR	fiscal fidel cadena representante gubernamental rosa maria seoane primer naufragar significativamente opinion jose antich #juicioproces
AGAINST	llevar currando perder #siguemeytesigovox ayudar gracia amigo prometer haceros follow todo vivo vivo españa
FAVOR	uno #pensionesdignas mañana ciudad real concentracion tardar #gobiernequiengobierne
AGAINST	noto dirigente politicos formacion colar hijoa put@ denuncialo publicamente
NEUTRAL	directo puigserver teniamos objetivo administración desde estar cumplir sentenciar constitucional tanto impedir celebracion referendum
NEUTRAL	prazer anunciar apple teacher disponivel brasil português estimular paixão pelar aprendizagem obtenha reconhecimento pelar otimo trabalho você realizar sala aula
FAVOR	joder recibira vida soldar labor mecagoento este cambiarlo atracar español ley hacer politicos mismo uno mes rascandose huevo soldar vitalicio
FAVOR	error democracia oligarquia totalitario social huevo aumentar gastar defensa aumentar gastar casa oligofrenicos mantener subvencionar pederasta catolicos
FAVOR	️@jorditurull violencia reivindicacion politica catalunya gente catalunya pacificar pensar pensar #judicialademocracia #autodeterminacionoésdelicte
FAVOR	este entrevistar gloria puro minutar mostrar ignorancia esplendor decir alemania prohibir partido independentista apologia comunismo
FAVOR	este personaje aliar fascismo español europeo desvergonzar pretender esconder pecar mandar comision dirigir ladron publicar simular ayudar venezuela
FAVOR	estar desechar español democracia empezar mundo
FAVOR	venir momento orden matar investigar perecer salio #thisistherealspain
AGAINST	homenaje guardia civil compañero expedientar video trasladar golpista madrid compartir homenaje nosotros riesgo vida soportar ataque humillación constante cataluña
AGAINST	alcalde alcala presidente comite etico psoe madrileño sentar banquillo prevaricacion dimitir gabilondo sanchez exigir dimitir confirmar candidato proximas elección #psoe
FAVOR	golpista fascismo culpar blanquear tripartit
AGAINST	pero #millo consagrar enemigo publicar numerar independentismo crucific
FAVOR	#stopsanchezf manifestacion mediacion solucionar conflictosdefinitivamente españa estar enfermar altura democracia bananero catalans independentistes veritat aixo voleu pels vostres
FAVOR	para entender declaración testigo entender significar aforar catalans español antiguar gobesp mentir querer costar jubilación descredito voto #judicifarsa #judicitvcatradio
AGAINST	tribuna democracia peligrar antonio caño
AGAINST	mientras esten independentista parlament circo estan hundir cataluña cirtos creer
AGAINST	espaldarazo internacional felipe democracia reinar españa democracia respetar
FAVOR	corrian redar social ciento foto carta enviar junquera preso politicos perfectamente legible devolver remitente ilegible vivo españa escribir
FAVOR	tuit compartir tener mercar amigo
NEUTRAL	juan guaido solidarizar poblar pemon arremeter ejercitar muerto prometio justicia
NEUTRAL	fato amar mosby hoje enxergar quão problematico confiar muito mais minha sensatez
AGAINST	na esperar aplicar poder seguir vivir contar marginar españa seguir sacar dinero privilegio guion manipulador
AGAINST	malestar guardia civil comenzar noticiapero correctono malestar doblar rasero portar urnasentorpece fcse nadapara fcse leña #equiparacionya
FAVOR	preparar campaña publicitario españa global contrarrestar #thisistherealspain
FAVOR	debatir politicos engañar restar politicos sincero obtendrian votar
FAVOR	despres majordom fairy cobosel torturador escapat tothom sap fiscalia afinar #judicifarsa #judicio #judicidelavergonya #judicitvcatradio
AGAINST	tremendo #lanocheh politicos partidosde todo jucio proces acusacion particular
FAVOR	desde llevar pedir proyecto linguisticos colegio opacidad govern ️mientras restar ccaa apostar lengua vehicular govern anclar modelar caducar #parlament
FAVOR	froilan amigo desatar puigdemont favor
AGAINST	despues autonomia shock enfrentar bordar colapsar democratico puigdemont escapar maletero atras dejar compañero mover poblar confundir clase gente pertenecer puigdemont participar opinion retwitea gracia
FAVOR	procesar proces analizar experto materia judicial hora #causaespecial clave juicio proces #juicioalproces #juicioproces siguelo comentar #causaespecial
FAVOR	decir formar apalear votante quedar mayoria catalán independencia apoyar internacional importante mision actuacion saber cifrar
AGAINST	casa idiotez catalán origen andaluz volver indepes llorar mocar tender
FAVOR	#judicitvcatradio #procesoprocesarv vergonzoso mentiroso compulsivo culpar mossos intervenir piolines invadir barcelona incapaz encontrar urna venir cobrar dieta comer beber bien
NEUTRAL	soraya rodriguez abandonar psoe acercamiento sanchez independentista
FAVOR	#liarlapardo existir maduro tirania ultraderecha ganar andalucia democracia
AGAINST	vídeo colau frustrar portazo caro independentista ayudar liderar
AGAINST	hasta farol serio juicio tele regimen pujolista decidir teatro entrar gente cascar policia farsa empresa mudar sede #noesteistristes indepes indignaos
FAVOR	insultar calificar español ignorante robar mano lleno poner bandera sueño humedos imperio perdido bordón inepto politicos corrupto
